Iteration	Average_Distance	Closest_Wolf	Best_Fitness
0	3.8131288239	0.8008286659	10.4025574945
1	2.9517390792	0.5042426976	4.5030453501
2	1.9496100451	0.2066215757	4.3048559249
3	1.7012408162	0.1288272683	3.1894733821
4	1.7596171612	0.3235225804	2.0031252716
5	1.5495241684	0.7039123440	3.2114074648
6	1.3075364576	0.3970731152	1.2813855234
7	0.9594656957	0.2162105172	2.5072678999
8	0.9732831430	0.3025680869	1.6499439447
9	0.9316207264	0.4328002367	1.3803553208
10	0.9107016484	0.0168233762	0.0561231245
11	0.7628006315	0.0305846888	0.1851075579
12	0.5999002458	0.0194705228	0.0751175255
13	0.3940001208	0.0270889499	0.1454064693
14	0.1317614720	0.0066322912	0.0087257740
15	0.0444674329	0.0048553328	0.0046767060
16	0.0209270326	0.0003285870	0.0000214203
17	0.0095857176	0.0005064848	0.0000508929
18	0.0028439355	0.0002315992	0.0000106414
19	0.0011857884	0.0001475078	0.0000043167
20	0.0005205764	0.0001138838	0.0000025731
21	0.0002356900	0.0000390508	0.0000003025
22	0.0000761407	0.0000017113	0.0000000006
23	0.0000211097	0.0000010814	0.0000000002
24	0.0000067581	0.0000008250	0.0000000001
25	0.0000021810	0.0000001053	0.0000000000
26	0.0000006530	0.0000000885	0.0000000000
27	0.0000002132	0.0000000081	0.0000000000
28	0.0000000632	0.0000000082	0.0000000000
29	0.0000000170	0.0000000064	0.0000000000
30	0.0000000051	0.0000000007	0.0000000000
31	0.0000000019	0.0000000004	0.0000000000
32	0.0000000017	0.0000000010	0.0000000000
33	0.0000000017	0.0000000013	0.0000000000
34	0.0000000016	0.0000000012	0.0000000000
35	0.0000000016	0.0000000012	0.0000000000
36	0.0000000016	0.0000000013	0.0000000000
37	0.0000000017	0.0000000013	0.0000000000
38	0.0000000019	0.0000000016	0.0000000000
39	0.0000000018	0.0000000014	0.0000000000
40	0.0000000018	0.0000000016	0.0000000000
41	0.0000000019	0.0000000017	0.0000000000
42	0.0000000019	0.0000000017	0.0000000000
43	0.0000000020	0.0000000018	0.0000000000
44	0.0000000019	0.0000000018	0.0000000000
45	0.0000000019	0.0000000018	0.0000000000
46	0.0000000020	0.0000000019	0.0000000000
47	0.0000000019	0.0000000019	0.0000000000
48	0.0000000019	0.0000000019	0.0000000000
49	0.0000000019	0.0000000019	0.0000000000
50	0.0000000019	0.0000000019	0.0000000000
