Iteration	Average_Distance	Closest_Wolf	Best_Fitness
0	3.8811480802	1.4450560966	28.8872095060
1	2.8863839887	0.3624305620	3.7291909606
2	2.0626201520	0.4825696393	33.6617022047
3	2.4543230882	0.3115451473	1.7969105393
4	1.8296599593	0.4798473668	2.8434508642
5	1.8027941166	0.8493201365	1.7439455603
6	1.5673079731	1.1238045223	1.7376342286
7	1.4227849595	0.9717440814	0.7346845181
8	1.2660267042	1.0173101444	0.3899549877
9	1.1069485094	0.8701996995	0.2988208218
10	1.0720281390	0.8577261429	0.3726364738
11	1.0667433961	0.9031625050	0.3833174272
12	1.0780511156	0.8721875300	0.3637553350
13	0.9431642866	0.7290820594	0.3109664332
14	0.9623273019	0.8124901237	0.2282673441
15	0.8659931175	0.6867431439	0.1621756262
16	0.8435340364	0.6016776288	0.1349241114
17	0.7416563487	0.4651019046	0.0890816563
18	0.7598831014	0.5098292247	0.1564822161
19	0.7510542524	0.3886642743	0.2886911671
20	0.7504940459	0.5455872302	0.1217066823
21	0.6224988568	0.2226139564	0.1168398030
22	0.6347848071	0.4549209320	0.0611286720
23	0.5442189276	0.2743448829	0.1156627665
24	0.5427522756	0.2176865416	0.1060389585
25	0.6534618158	0.4764788190	0.0857421775
26	0.5679045003	0.2295654607	0.0671897149
27	0.5817975990	0.3088127082	0.1040023754
28	0.4871374961	0.2509506227	0.0383592959
29	0.4090851359	0.1522426655	0.0125211813
30	0.3484618660	0.1302166552	0.0437282702
31	0.3200837613	0.0554316110	0.0219693345
32	0.2514889004	0.0091862781	0.0408522038
33	0.2088922980	0.0787751156	0.0436591702
34	0.2326877652	0.0659256735	0.0075350217
35	0.2404173771	0.1025413136	0.0382803275
36	0.2306831071	0.0566160301	0.0083756977
37	0.2025916250	0.0523158985	0.0221596534
38	0.2107711297	0.1087654158	0.0312221105
39	0.1658026165	0.0521024867	0.0043674554
40	0.1488194272	0.0166650021	0.0160120036
41	0.1422344976	0.0369601683	0.0006328755
42	0.1202926868	0.0405289916	0.0051758159
43	0.1722190694	0.0736567428	0.0037478383
44	0.1611578780	0.1085635018	0.0027582956
45	0.1424187797	0.0681611917	0.0045360776
46	0.1538293040	0.0898888600	0.0040147170
47	0.1780461896	0.1398364295	0.0073040733
48	0.1664966300	0.1422114918	0.0057922864
49	0.1568070027	0.1471400793	0.0052868515
50	0.1604628105	0.1604628105	0.0056163418
