Iteration	Average_Distance	Closest_Wolf	Best_Fitness
0	3.8131288239	0.8008286659	10.4025574945
1	2.9517390792	0.5042426976	4.5030453501
2	1.9504226566	0.2067201229	4.3277994718
3	1.7031867696	0.1289836569	3.1975342493
4	1.7628222354	0.3232213679	2.0111865390
5	1.5528529787	0.7048685478	3.2801495796
6	1.2787001579	0.1347729448	1.5800604025
7	0.8720938873	0.0995042053	1.0550616901
8	0.6162037639	0.0137113153	0.0372783474
9	0.4695370215	0.0402042563	0.3194121934
10	0.5049081062	0.0774912211	1.1759365715
11	0.2567909717	0.0046479209	0.0042856048
12	0.1462786737	0.0059266054	0.0069680377
13	0.0757616666	0.0021739727	0.0009376184
14	0.0385957767	0.0015236059	0.0004605406
15	0.0136537788	0.0012471821	0.0003085905
16	0.0057868857	0.0002060115	0.0000084199
17	0.0016417422	0.0000405808	0.0000003267
18	0.0006715515	0.0000363609	0.0000002623
19	0.0002416012	0.0000086681	0.0000000149
20	0.0000812147	0.0000046462	0.0000000043
21	0.0000352491	0.0000027121	0.0000000015
22	0.0000097025	0.0000010564	0.0000000002
23	0.0000027351	0.0000002422	0.0000000000
24	0.0000008308	0.0000000841	0.0000000000
25	0.0000002309	0.0000000116	0.0000000000
26	0.0000000772	0.0000000055	0.0000000000
27	0.0000000206	0.0000000013	0.0000000000
28	0.0000000053	0.0000000005	0.0000000000
29	0.0000000015	0.0000000001	0.0000000000
30	0.0000000012	0.0000000005	0.0000000000
31	0.0000000011	0.0000000007	0.0000000000
32	0.0000000011	0.0000000007	0.0000000000
33	0.0000000011	0.0000000008	0.0000000000
34	0.0000000010	0.0000000007	0.0000000000
35	0.0000000008	0.0000000007	0.0000000000
36	0.0000000009	0.0000000006	0.0000000000
37	0.0000000009	0.0000000007	0.0000000000
38	0.0000000010	0.0000000008	0.0000000000
39	0.0000000010	0.0000000008	0.0000000000
40	0.0000000010	0.0000000009	0.0000000000
41	0.0000000010	0.0000000009	0.0000000000
42	0.0000000010	0.0000000009	0.0000000000
43	0.0000000010	0.0000000010	0.0000000000
44	0.0000000011	0.0000000010	0.0000000000
45	0.0000000011	0.0000000010	0.0000000000
46	0.0000000011	0.0000000010	0.0000000000
47	0.0000000010	0.0000000010	0.0000000000
48	0.0000000010	0.0000000010	0.0000000000
49	0.0000000010	0.0000000010	0.0000000000
50	0.0000000010	0.0000000010	0.0000000000
