Iteration	Average_Distance	Closest_Wolf	Best_Fitness
0	3.8811480802	1.4450560966	28.8872095060
1	2.8863839887	0.3624305620	3.7291909606
2	2.0632357057	0.4824857249	33.5945080332
3	2.4555383160	0.3099493523	1.8065947435
4	1.8311526058	0.4777485387	2.8490792151
5	1.8044570547	0.8470513767	1.7983180070
6	1.5690123981	1.1212726773	1.8488701978
7	1.4046393499	0.8608862846	0.2550928403
8	1.1493127199	0.7967235251	0.4827638719
9	1.1473972294	0.9238249702	0.3536850226
10	1.0451554103	0.6757461638	0.2065429893
11	0.9042986274	0.6308567960	0.2244197515
12	0.9015400302	0.4985091058	0.1506687723
13	0.6938630047	0.2664210274	0.1419500133
14	0.7573227717	0.4751306236	0.0981585624
15	0.7447697311	0.4335437539	0.1341250819
16	0.7636224501	0.5064582858	0.0882413357
17	0.6495395262	0.3796509808	0.1537428230
18	0.6314581067	0.3840740525	0.0484698069
19	0.6017475763	0.2028659654	0.1037674307
20	0.6316649440	0.3692792538	0.0513875629
21	0.4804863824	0.0410384759	0.0592205746
22	0.5528186813	0.2532545609	0.0686444455
23	0.5552921526	0.2757205973	0.0686206552
24	0.6282143295	0.3976561506	0.1624876993
25	0.6338564429	0.4098280864	0.0842808383
26	0.6433233438	0.3176242391	0.0942863535
27	0.5836513860	0.3386228397	0.0672284135
28	0.5367870270	0.3625148585	0.0569664455
29	0.4847194595	0.2521480574	0.0514991967
30	0.4993633927	0.3058977096	0.0524988758
31	0.4831813634	0.2986633704	0.0436286064
32	0.4270763075	0.1872760243	0.0294269373
33	0.3597190169	0.2424257556	0.0264392171
34	0.3639870881	0.1853942748	0.0160350050
35	0.3392244029	0.2171664312	0.0159553924
36	0.3210222196	0.1408250103	0.0178467668
37	0.2949654796	0.1123239348	0.0267040344
38	0.3310454023	0.2218811697	0.0282421177
39	0.3683706001	0.2729143369	0.0205015626
40	0.3456484776	0.2388650840	0.0141210819
41	0.2984476691	0.1965917579	0.0234958425
42	0.3050889400	0.1890510107	0.0172454706
43	0.3022307392	0.2208980562	0.0310327992
44	0.3094477113	0.2567978867	0.0232835596
45	0.2980987695	0.2270827371	0.0158969436
46	0.2909287236	0.2207621361	0.0196999954
47	0.2990440237	0.2550631246	0.0191123165
48	0.2860807262	0.2549986488	0.0161405921
49	0.2725071153	0.2555620350	0.0173299144
50	0.2799359043	0.2707768670	0.0183830746
